erroryaw	steer	speed
0.88	0.656563	0.666646
0.89	0.658202	0.66665
0.9	0.659692	0.66665
0.91	0.661035	0.66665
0.92	0.66223	0.66665
0.93	0.663279	0.66665
0.94	0.664184	0.66665
0.95	0.664945	0.66665
0.96	0.665564	0.66665
0.97	0.666042	0.66665
0.98	0.666381	0.66665
0.99	0.666583	0.66665
1	0.66665	0.66665
1.01	0.66665	0.66665
1.02	0.66665	0.66665
1.03	0.66665	0.66665
1.04	0.66665	0.66665
1.05	0.66665	0.66665
1.06	0.66665	0.66665
1.07	0.66665	0.66665
1.08	0.66665	0.66665
1.09	0.66665	0.66665
1.1	0.66665	0.66665
1.11	0.66665	0.66665
1.12	0.66665	0.66665
1.13	0.66665	0.66665
1.14	0.66665	0.66665
1.15	0.66665	0.66665
1.16	0.66665	0.66665
1.17	0.66665	0.66665
1.18	0.66665	0.66665
1.19	0.66665	0.66665
1.2	0.66665	0.66665
1.21	0.66665	0.66665
1.22	0.66665	0.66665
1.23	0.66665	0.66665
1.24	0.66665	0.66665
1.25	0.66665	0.66665
1.26	0.66665	0.66665
1.27	0.66665	0.66665
1.28	0.66665	0.66665
1.29	0.66665	0.66665
1.3	0.66665	0.66665
1.31	0.66665	0.66665
1.32	0.66665	0.66665
1.33	0.66665	0.66665
1.34	0.66665	0.66665
1.35	0.66665	0.66665
1.36	0.66665	0.66665
1.37	0.66665	0.66665
1.38	0.66665	0.66665
1.39	0.66665	0.66665
1.4	0.66665	0.66665
1.41	0.66665	0.66665
1.42	0.66665	0.66665
1.43	0.66665	0.66665
1.44	0.66665	0.66665
1.45	0.66665	0.66665
1.46	0.66665	0.66665
1.47	0.66665	0.66665
1.48	0.66665	0.66665
1.49	0.66665	0.66665
1.5	0.66665	0.66665
1.51	0.66665	0.66665
1.52	0.66665	0.66665
1.53	0.66665	0.66665
1.54	0.66665	0.66665
1.55	0.66665	0.66665
1.56	0.66665	0.66665
1.57	0.66665	0.66665
1.58	0.66665	0.66665
1.59	0.66665	0.66665
1.6	0.66665	0.66665
1.61	0.66665	0.66665
1.62	0.66665	0.66665
1.63	0.66665	0.66665
1.64	0.66665	0.66665
1.65	0.66665	0.66665
1.66	0.66665	0.66665
1.67	0.66665	0.66665
1.68	0.66665	0.66665
1.69	0.66665	0.66665
1.7	0.66665	0.66665
1.71	0.66665	0.66665
1.72	0.66665	0.66665
1.73	0.66665	0.66665
1.74	0.66665	0.66665
1.75	0.66665	0.66665
1.76	0.66665	0.66665
1.77	0.66665	0.66665
